epoch,step,train_loss
0,49,0.09713530540466309
0,99,0.09743830561637878
0,149,0.07439114153385162
1,199,0.09187208861112595
1,249,0.06595122069120407
1,299,0.06390853971242905
2,349,0.04352440685033798
2,399,0.042907603085041046
2,449,0.05214839428663254
3,499,0.047945957630872726
3,549,0.04614986106753349
3,599,0.03783353418111801
4,649,0.048723410815000534
4,699,0.05514302849769592
4,749,0.05167505890130997
